[2026-07-12 08:00:06] This is codeql database index-files --include-extension=.xml --include-extension=.wsdd --also-match-lgtm-index-filters --size-limit 10m --language xml -- /home/runner/work/Ansede/Ansede/benchmarks/report/.codeql_dbs/log4j
[2026-07-12 08:00:06] Log file was started late.
[2026-07-12 08:00:06] Using index-files script /home/runner/work/Ansede/Ansede/codeql/xml/tools/index-files.sh.
[2026-07-12 08:00:06] [PROGRESS] database index-files> Scanning for files in /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j...
[2026-07-12 08:00:06] Calling plumbing command: codeql resolve files --include-extension=.xml --include-extension=.wsdd --also-match-lgtm-index-filters --size-limit=10m /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j --format=json
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot/src...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot/src/test...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot/src/test/resources...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot/src/test/java...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot/src/test/java/org...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot/src/test/java/org/apache...
[2026-07-12 08:00:06] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/log4j/log4j-spring-boot/src/test/java/org/apache/logging...
