[2026-07-12 07:46:12] This is codeql database index-files --include-extension=.xml --include-extension=.wsdd --also-match-lgtm-index-filters --size-limit 10m --language xml -- /home/runner/work/Ansede/Ansede/benchmarks/report/.codeql_dbs/spring-petclinic
[2026-07-12 07:46:12] Log file was started late.
[2026-07-12 07:46:12] Using index-files script /home/runner/work/Ansede/Ansede/codeql/xml/tools/index-files.sh.
[2026-07-12 07:46:12] [PROGRESS] database index-files> Scanning for files in /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic...
[2026-07-12 07:46:12] Calling plumbing command: codeql resolve files --include-extension=.xml --include-extension=.wsdd --also-match-lgtm-index-filters --size-limit=10m /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic --format=json
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/9.5.1...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/9.5.1/expanded...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/9.5.1/executionHistory...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/9.5.1/fileHashes...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/9.5.1/fileChanges...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/9.5.1/checksums...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/9.5.1/vcsMetadata...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/vcs-1...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.gradle/buildOutputCleanup...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/.devcontainer...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/jmeter...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework/samples...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework/samples/petclinic...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework/samples/petclinic/service...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework/samples/petclinic/system...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework/samples/petclinic/vet...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework/samples/petclinic/model...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/test/java/org/springframework/samples/petclinic/owner...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/static...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/static/resources...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/static/resources/images...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/static/resources/css...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/static/resources/fonts...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/db...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/db/mysql...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/db/h2...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/db/postgres...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/messages...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/templates...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/templates/vets...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/templates/fragments...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/templates/owners...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/resources/templates/pets...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/scss...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/java...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/java/org...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/java/org/springframework...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/java/org/springframework/samples...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/java/org/springframework/samples/petclinic...
[2026-07-12 07:46:13] [PROGRESS] resolve files> Scanning /home/runner/work/Ansede/Ansede/benchmarks/report/.repo_cache/spring-petclinic/src/main/java/org/springframework/samples/petclinic/system...
